model,scheme,bin,n,median_gt_px,median_dice,mean_dice,mean_recall,mean_precision,zero_dice_n,zero_dice_rate,empty_pred_n
distill_p2_cwd_b5_to_b0,decile,D4,18,8665.5,0.8123985541840006,0.8010804856098849,0.754605430174419,0.8651337606743819,0,0.0,0
distill_p2_cwd_b5_to_b0,decile,D5,19,10622.0,0.8175273510571963,0.7954670458295766,0.7404686978932317,0.8880511685581965,0,0.0,0
distill_p2_cwd_b5_to_b0,decile,D6,18,11957.5,0.8427216200359736,0.8057473653329593,0.7497417588245927,0.8878049702032907,1,0.05555555555555555,0
distill_p2_cwd_b5_to_b0,decile,D7,18,13841.0,0.8175543723351258,0.7754335358999631,0.7306639175727082,0.8620520054368631,0,0.0,0
distill_p2_cwd_b5_to_b0,decile,D8,19,15506.0,0.8166175438596491,0.7915362439173614,0.7366150306474077,0.8932512252660693,0,0.0,0
distill_p2_cwd_b5_to_b0,decile,D9,18,19152.0,0.8416623243821988,0.7889887575685463,0.7584981285596624,0.8468299924551422,0,0.0,0
distill_p2_ensemble_uniform,quintile,Q1,37,4884.0,0.8319088319088319,0.7490342405980488,0.769452783302778,0.7847653917842616,1,0.02702702702702703,0
distill_p2_ensemble_uniform,quintile,Q2,37,7671.0,0.8163055453543886,0.7882390543861605,0.7434827938874731,0.8522149741642155,0,0.0,0
distill_p2_ensemble_uniform,quintile,Q3,37,11324.0,0.8155594405594405,0.785180738054323,0.7205836736353836,0.8935416333404224,1,0.02702702702702703,0
distill_p2_ensemble_uniform,quintile,Q4,37,14382.0,0.8072940373236231,0.7501905905022745,0.68603220181775,0.8818297581666954,0,0.0,0
distill_p2_ensemble_uniform,quintile,Q5,37,21744.0,0.7873830179657081,0.7347204862615944,0.6536746619916277,0.9000088183598686,0,0.0,0
distill_p2_ensemble_uniform,absolute,10-20k,81,13751.0,0.8155594405594405,0.7696735904665919,0.7046598459000629,0.8899652217451054,1,0.012345679012345678,0
distill_p2_ensemble_uniform,absolute,2-5k,17,4132.0,0.8579374791411726,0.7485376415414152,0.8055536744811169,0.7624188610247442,0,0.0,0
distill_p2_ensemble_uniform,absolute,5-10k,58,6750.0,0.8206741525007886,0.7922802878827677,0.7606590267111119,0.851833292401965,0,0.0,0
distill_p2_ensemble_uniform,absolute,<2k,2,986.0,0.3637196518552451,0.3637196518552451,0.3452173913043478,0.38431752178121975,1,0.5,0
distill_p2_ensemble_uniform,absolute,>20k,27,23968.0,0.7414922115289215,0.7083004565844376,0.6158832565021549,0.9012619149452431,0,0.0,0
distill_p2_ensemble_uniform,decile,D1,19,4071.0,0.8046429274050757,0.7080304847323445,0.7570972236204045,0.7226187200517417,1,0.05263157894736842,0
distill_p2_ensemble_uniform,decile,D10,19,31415.0,0.7414922115289215,0.6830534110823303,0.5840932768829769,0.892539255915323,0,0.0,0
distill_p2_ensemble_uniform,decile,D2,18,5445.5,0.8385018980941615,0.7923159829007365,0.7824947629675054,0.8503646563908106,0,0.0,0
distill_p2_ensemble_uniform,decile,D3,19,6686.0,0.7956952216960826,0.738472799486512,0.695233746416177,0.8039078389198986,0,0.0,0
distill_p2_ensemble_uniform,decile,D4,18,8665.5,0.8382507131184147,0.8407701012246784,0.7944123439960633,0.9032058391443277,0,0.0,0
distill_p2_ensemble_uniform,decile,D5,19,10622.0,0.7872639614302933,0.7832607258666983,0.7236226594278609,0.8953346736034575,0,0.0,0
