model,mean_dice,median_dice,iqr_dice,zero_dice_n,zero_dice_rate,empty_pred_n,recall_all,recall_smallQ1,recall_smallD1,zero_dice_n_Q1,median_dice_Q1,median_dice_Q5,dice_drop_Q1_vs_Q5
distill_p3_adaptive_boundary,0.7668427647712083,0.8221336874723328,0.1616182838826986,1,0.005405405405405406,0,0.7276553802062046,0.7596346967084097,0.6880791367872184,1,0.8221336874723328,0.7987677471202786,0.023365940352054193
distill_segformer_b5__seed2026,0.7676155820452869,0.8297678652708238,0.1820329002419343,1,0.005405405405405406,0,0.7214749269944424,0.7855955651216837,0.7756194067210044,0,0.850592885375494,0.7638892325966987,0.08670365277879533
topformer_tiny_rgkd,0.679817816137044,0.7456680287591165,0.2322542118632509,1,0.005405405405405406,0,0.6565352384933665,0.7568285166150627,0.7188483291138402,1,0.7569060773480663,0.6832145898676859,0.07369148748038035
topformer_tiny_distilled,0.686246957254311,0.7502742621678752,0.2577432104934747,1,0.005405405405405406,0,0.6632216174876714,0.760393960426534,0.7324603959036994,1,0.7456218462451766,0.7564473068560262,-0.010825460610849658
topformer_tiny_b2kd,0.6971385420382296,0.7455576559546314,0.2166886069433862,1,0.005405405405405406,0,0.7024391953446288,0.7774025554329846,0.7686669966113499,1,0.7479390457157132,0.752487200697534,-0.004548154981820818
topformer_tiny,0.6918486980898523,0.7418196822776976,0.2188166397603889,1,0.005405405405405406,0,0.7063707335389408,0.7694751335155134,0.7395054033478082,1,0.7275290035780115,0.7418196822776976,-0.014290678699686032
segformer_b0_rgkd,0.7655657400501422,0.8157619754715943,0.15813084072159078,2,0.010810810810810811,1,0.7250234683343149,0.715404049127297,0.6730771126282079,2,0.8291346052492885,0.8077034223671717,0.02143118288211676
lraspp_mobilenetv3,0.6981515283591777,0.7607057069493912,0.24035104797984086,2,0.010810810810810811,2,0.6548377860194143,0.6914906531866448,0.7492217319192914,0,0.7567789646672145,0.777468542981459,-0.02068957831424445
lraspp_mobilenetv3_rgkd,0.7246397383719482,0.7777109882183217,0.2254417321142136,2,0.010810810810810811,1,0.6734834851444331,0.6867748922764393,0.6846757945040579,1,0.7562262753448755,0.7900186133085156,-0.03379233796364012
distill_p3_adaptive,0.7748439694052848,0.8171701112877583,0.1559525787488859,2,0.010810810810810811,0,0.7423310201103652,0.8276335472988355,0.7974957797578516,1,0.8332266734928965,0.7581095635348022,0.07511710995809429
