model,median_ms_fp32,fps_fp32,params_M,median_ms_fp16,fps_fp16,speedup_fp32_over_fp16,ratio_vs_fastest_fp32
fastscnn,3.573083085939288,279.8703461263401,1.135473,4.826067015528679,207.20806337382646,0.74,1.0
fastscnn_distilled,3.5767199005931616,279.5857734999491,1.135473,4.827740835025907,207.13622254634424,0.741,1.001
lraspp_mobilenetv3,5.019834032282233,199.2097733847501,3.218138,6.765276892110705,147.81360998928886,0.742,1.405
yolo_sem_distilled,5.778905935585499,173.04313500626023,1.630692,7.032430963590741,142.19833869359488,0.822,1.617
yolo_sem_direct,5.800687009468675,172.39337312419428,1.630692,6.980844074860215,143.249152864086,0.831,1.623
topformer_tiny,6.217283895239234,160.84193947870563,1.370433,8.439387194812298,118.49201570164968,0.737,1.74
deeplabv3plus_r50,10.438178898766637,95.80215185985736,26.677585,7.520091952756047,132.97709739220792,1.388,2.921
ppmobileseg_tiny,10.76432503759861,92.8994615553794,1.454005,14.49305098503828,68.99858428928026,0.743,3.013
unet_r50,11.81820291094482,84.61523359646343,32.521105,10.172216920182109,98.30698734077895,1.162,3.308
