model,all_n,all_median_dice,all_mean_dice,all_mean_recall,all_mean_precision,all_zero_dice_n,all_zero_dice_rate,all_empty_pred_n,D1_D4_n,D1_D4_median_dice,D1_D4_mean_dice,D1_D4_mean_recall,D1_D4_mean_precision,D1_D4_zero_dice_n,D1_D4_zero_dice_rate,D1_D4_empty_pred_n,D1_n,D1_median_dice,D1_mean_dice,D1_mean_recall,D1_mean_precision,D1_zero_dice_n,D1_zero_dice_rate,D1_empty_pred_n,all_wrong_place_n,D1_D4_wrong_place_n
dermlip_ft,185,0.7583998633821457,0.704268940140205,0.6949194074043554,0.7537669086556363,0,0.0,0,74,0.7463819259935787,0.6792363956529968,0.7080841378535515,0.6829533378220642,0,0.0,0,19,0.7477901693515077,0.6707427851856517,0.7707392419924961,0.6196139619256847,0,0.0,0,0,0
dinov2_ft,185,0.8305261588910419,0.7901600563440758,0.7715673916069271,0.8472639890712915,0,0.0,0,74,0.829199375845109,0.7756927655546478,0.7768055674575503,0.8084502484904907,0,0.0,0,19,0.770594217637658,0.7578794009499502,0.7861324919178556,0.7825251517900366,0,0.0,0,0,0
medsam_ft,185,0.8259826716922023,0.7671849134943513,0.7145715345888441,0.8732400985001193,1,0.005405405405405406,0,74,0.8575455131609198,0.7876846566313913,0.7731689741125732,0.8266336417408426,0,0.0,0,19,0.8674899403357846,0.7922463828222355,0.8410127862270326,0.7886538876199792,0,0.0,0,1,0
sam_ft,185,0.8133390613253142,0.7550790110799478,0.6916242004104529,0.8713973310978342,3,0.016216216216216217,0,74,0.8347301997859436,0.7592851583726269,0.723955764735511,0.8201611175546409,2,0.02702702702702703,0,19,0.8502047155160243,0.7591753931552642,0.7570315029415241,0.7876773182087174,1,0.05263157894736842,0,3,2
