model,bin,median_gt_px,n,median_dice,mean_dice,mean_recall,mean_precision,zero_dice_n,zero_dice_rate,empty_pred_n
sam_ft,D1,4071.0,19,0.8502047155160243,0.7591753931552642,0.7570315029415241,0.7876773182087174,1,0.05263157894736842,0
sam_ft,D2,5445.5,18,0.8659492333224065,0.8337204223284821,0.8058922741987156,0.8746104968748353,0,0.0,0
sam_ft,D3,6686.0,19,0.8247583411287808,0.699353463105004,0.649095590124962,0.7812702293034022,1,0.05263157894736842,0
sam_ft,D4,8665.5,18,0.819352487104696,0.7482269915953674,0.6861250492548724,0.8410516862536739,0,0.0,0
sam_ft,D5,10622.0,19,0.807745637102558,0.7951251166148802,0.729788597859409,0.8998225331647021,0,0.0,0
sam_ft,D6,11957.5,18,0.8205090212171287,0.8172056881299483,0.7478674522283907,0.9182018268105101,0,0.0,0
sam_ft,D7,13841.0,18,0.75652553107784,0.7248682615821486,0.6355177022313309,0.8825099619690062,0,0.0,0
sam_ft,D8,15506.0,19,0.864319538809965,0.7785748136750196,0.722486739786162,0.858106575710958,1,0.05263157894736842,0
sam_ft,D9,19152.0,18,0.7789445695758657,0.7671232010175583,0.6602989803057642,0.9559664455698995,0,0.0,0
sam_ft,D10,31415.0,19,0.592890480523674,0.633508839030214,0.5262212970769138,0.9208274877436243,0,0.0,0
medsam_ft,D1,4071.0,19,0.8674899403357846,0.7922463828222355,0.8410127862270326,0.7886538876199792,0,0.0,0
medsam_ft,D2,5445.5,18,0.8900529499771891,0.8449860244303625,0.8451410380956019,0.8579048672428873,0,0.0,0
medsam_ft,D3,6686.0,19,0.842170818505338,0.7218621096264866,0.6652156490828178,0.7953563253259623,0,0.0,0
medsam_ft,D4,8665.5,18,0.8138930139590421,0.7950474885805954,0.7435347293179124,0.8684671018043048,0,0.0,0
medsam_ft,D5,10622.0,19,0.8284991240023359,0.7958138156903045,0.7342223789920961,0.8944396460830315,0,0.0,0
medsam_ft,D6,11957.5,18,0.8307840744851971,0.7952428033877819,0.7416118086486623,0.8887648942897189,0,0.0,0
medsam_ft,D7,13841.0,18,0.7479806983577906,0.7088343130522111,0.616250833722662,0.8902855703072,0,0.0,0
medsam_ft,D8,15506.0,19,0.839584146471277,0.7860549882794639,0.722757475945487,0.886231584143783,1,0.05263157894736842,0
medsam_ft,D9,19152.0,18,0.82049205704753,0.7956145882938245,0.7065292987533394,0.9512470467783625,0,0.0,0
medsam_ft,D10,31415.0,19,0.6425829118676244,0.6416098128998788,0.5336609279235649,0.9158115870860609,0,0.0,0
dermlip_ft,D1,4071.0,19,0.7477901693515077,0.6707427851856517,0.7707392419924961,0.6196139619256847,0,0.0,0
dermlip_ft,D2,5445.5,18,0.7823781016609923,0.7205871538955635,0.7479391982137633,0.7289703870781005,0,0.0,0
dermlip_ft,D3,6686.0,19,0.7471828951170182,0.6507349432450966,0.6483772461439564,0.6778256560336033,0,0.0,0
dermlip_ft,D4,8665.5,18,0.7108525770591284,0.6769359815565221,0.6651170754845821,0.7092070716778038,0,0.0,0
dermlip_ft,D5,10622.0,19,0.7310577791743588,0.679217390322446,0.6481249945828956,0.7468242738200249,0,0.0,0
dermlip_ft,D6,11957.5,18,0.8027046935958347,0.7952856330676135,0.7978590393503622,0.8211411666747565,0,0.0,0
dermlip_ft,D7,13841.0,18,0.756482400297646,0.7296321993980226,0.6837352646273573,0.8331388879533757,0,0.0,0
dermlip_ft,D8,15506.0,19,0.8186723152551857,0.6758946758762432,0.6724162488918729,0.7163154880193501,0,0.0,0
dermlip_ft,D9,19152.0,18,0.8143470438840286,0.7490523443524558,0.7134957600320111,0.8107468788636744,0,0.0,0
dermlip_ft,D10,31415.0,19,0.7538919233735775,0.7025088530060752,0.6084189152866939,0.8809574118241749,0,0.0,0
dinov2_ft,D1,4071.0,19,0.770594217637658,0.7578794009499502,0.7861324919178556,0.7825251517900366,0,0.0,0
dinov2_ft,D2,5445.5,18,0.8452267461185653,0.8332512249328022,0.8121747446961928,0.875577841158949,0,0.0,0
dinov2_ft,D3,6686.0,19,0.829842032967033,0.7201583979198245,0.7337367027041697,0.7389047860116054,0,0.0,0
dinov2_ft,D4,8665.5,18,0.8456139414669606,0.7955569124293211,0.7770528827504869,0.8420971349557794,0,0.0,0
dinov2_ft,D5,10622.0,19,0.8600010003501225,0.8105898968240495,0.7812464053099454,0.878275586558063,0,0.0,0
dinov2_ft,D6,11957.5,18,0.8402141393386131,0.8272716025748088,0.8198157863091596,0.8592253895278339,0,0.0,0
dinov2_ft,D7,13841.0,18,0.8058130662795061,0.743377224320676,0.6895401171503519,0.8740480114886814,0,0.0,0
dinov2_ft,D8,15506.0,19,0.8734000294247463,0.8421457074877094,0.8136479498491821,0.8860665904228344,0,0.0,0
dinov2_ft,D9,19152.0,18,0.8395144920515425,0.8234986132457393,0.8197586621372411,0.8571484550029134,0,0.0,0
dinov2_ft,D10,31415.0,19,0.7579519543036138,0.7516692299023489,0.6857526592977795,0.8825486746792567,0,0.0,0
