path,model,status,split,cohort,n_rows,alias_of,reason
/scratch/tbommawa/bruise_work/outputs/per_image_distill_x_angular_b5_to_b0.csv,distill_x_angular_b5_to_b0,ok,test,REFERENCE,185,,
/scratch/tbommawa/BRUISE_UNIFIED/_work/outputs/per_image_fastscnn.csv,fastscnn,ok,test,REFERENCE,185,,
/scratch/tbommawa/bruise_work/outputs/per_image_fastscnn.csv,fastscnn#e981,ok,test,REFERENCE,185,,name collision; renamed to fastscnn#e981
/scratch/tbommawa/bruise_work/outputs/per_image_fastscnn_b2kd.csv,fastscnn_b2kd,ok,test,REFERENCE,185,,
/scratch/tbommawa/BRUISE_UNIFIED/_work/outputs/per_image_fastscnn_distilled.csv,fastscnn_distilled,ok,test,REFERENCE,185,,
/scratch/tbommawa/bruise_work/outputs/per_image_fastscnn_distilled.csv,fastscnn_distilled#e981,ok,test,REFERENCE,185,,name collision; renamed to fastscnn_distilled#e981
/scratch/tbommawa/bruise_work/outputs/per_image_fastscnn_rgkd.csv,fastscnn_rgkd,ok,test,REFERENCE,185,,
/scratch/tbommawa/BRUISE_UNIFIED/_work/outputs/per_image_lraspp_mobilenetv3.csv,lraspp_mobilenetv3,ok,test,REFERENCE,185,,
/scratch/tbommawa/bruise_work/outputs/per_image_lraspp_mobilenetv3.csv,lraspp_mobilenetv3#e981,ok,test,REFERENCE,185,,name collision; renamed to lraspp_mobilenetv3#e981
/scratch/tbommawa/bruise_work/outputs/per_image_lraspp_mobilenetv3_b2kd.csv,lraspp_mobilenetv3_b2kd,ok,test,REFERENCE,185,,
/scratch/tbommawa/bruise_work/outputs/per_image_lraspp_mobilenetv3_distilled.csv,lraspp_mobilenetv3_distilled,ok,test,REFERENCE,185,,
/scratch/tbommawa/bruise_work/outputs/per_image_lraspp_mobilenetv3_rgkd.csv,lraspp_mobilenetv3_rgkd,ok,test,REFERENCE,185,,
/scratch/tbommawa/BRUISE_UNIFIED/STAGE_N4_RESULTS/tables/test_per_image__medsam_ft__seed0.csv,medsam_ft__seed0,ok,test,REFERENCE,185,,
/scratch/tbommawa/BRUISE_UNIFIED/STAGE_N4_RESULTS/tables/val_per_image__medsam_ft__seed0.csv,medsam_ft__seed0#c827,ok,val,val:c827901ce6,134,,name collision; renamed to medsam_ft__seed0#c827
