model,stratum,skin_tone_category,n_subjects,g_n,g_mean_dice,g_median_dice,g_iqr_dice,g_mean_recall,g_mean_precision,g_zero_dice_n,g_zero_dice_rate,g_empty_pred_n,g_wrong_place_n
biomedclip_g28,all,Light (II-III),7,31,0.5640135405813432,0.5623509207136723,0.295832216022176,0.6851139679066972,0.5510063671444779,0,0.0,0,0
biomedclip_g28,all,Intermediate (III-IV),12,46,0.6779253451244941,0.709093733314156,0.23353604669658012,0.8016553529969568,0.6422046240284968,0,0.0,0,0
biomedclip_g28,all,Tan (IV),11,21,0.6739887413629776,0.7214617081146856,0.3296001623146383,0.7835111882941964,0.6212541701695244,0,0.0,0,0
biomedclip_g28,all,Brown (V),4,7,0.6356625969088571,0.6523959646910467,0.15382721342005123,0.7739931528617445,0.5551355132812309,0,0.0,0,0
biomedclip_g28,all,Dark (VI),8,28,0.5730188265823574,0.6014129668480679,0.19610838440331774,0.6877240978713096,0.5486507487609674,1,0.03571428571428571,0,1
biomedclip_g28,D1_D4,Light (II-III),4,15,0.5443570369975624,0.5623509207136723,0.24005978812403694,0.6409141320537394,0.5434888511195888,0,0.0,0,0
biomedclip_g28,D1_D4,Intermediate (III-IV),5,14,0.6312836914286158,0.6198159022067729,0.21774974980609374,0.8086791950093568,0.5790109474388033,0,0.0,0,0
biomedclip_g28,D1_D4,Tan (IV),6,9,0.5090947386819007,0.4836785307326228,0.22021172731172134,0.6405479411007019,0.46582794690061063,0,0.0,0,0
biomedclip_g28,D1_D4,Brown (V),1,2,0.5155885851089139,0.5155885851089139,0.047172407276249495,0.7866028876128743,0.38728987290320616,0,0.0,0,0
biomedclip_g28,D1_D4,Dark (VI),2,13,0.5320485984799823,0.5580941056565314,0.19477404824085415,0.7342995386371164,0.4623183733110947,0,0.0,0,0
biomedclip_g28,D5_D10,Light (II-III),7,16,0.5824415126911378,0.5366934418575342,0.34196034174339107,0.7265513140188451,0.5580540384178114,0,0.0,0,0
