model,bin,median_gt_px,s_n,s_mean_dice,s_median_dice,s_iqr_dice,s_mean_recall,s_mean_precision,s_zero_dice_n,s_zero_dice_rate,s_empty_pred_n,s_wrong_place_n
deeplabv3plus_r50,D7,13841.0,18,0.7712928601807655,0.7737005345622233,0.2020942292155541,0.7135360505723854,0.8738856335869157,0,0.0,0,0
deeplabv3plus_r50,D8,15506.0,19,0.8089238988750052,0.8798278400724884,0.1160749509683825,0.7764385431343311,0.8871313795667377,0,0.0,0,0
deeplabv3plus_r50,D9,19152.0,18,0.7972810331955116,0.8280443841296582,0.10401275790419873,0.7734861330505417,0.861038986418023,0,0.0,0,0
deeplabv3plus_r50,D10,31415.0,19,0.7245767015559763,0.6675275003677612,0.22493071375049034,0.6505833683818077,0.8602620389879783,0,0.0,0,0
dermlip_ft__seed0,D1,4071.0,19,0.6707427851856517,0.7477901693515077,0.17664387673701665,0.7707392419924961,0.6196139619256847,0,0.0,0,0
dermlip_ft__seed0,D2,5445.5,18,0.7205871538955635,0.7823781016609923,0.1630101525533748,0.7479391982137633,0.7289703870781005,0,0.0,0,0
dermlip_ft__seed0,D3,6686.0,19,0.6507349432450966,0.7471828951170182,0.3923331189236557,0.6483772461439564,0.6778256560336033,0,0.0,0,0
dermlip_ft__seed0,D4,8665.5,18,0.6769359815565221,0.7108525770591284,0.21498539037290065,0.6651170754845821,0.7092070716778038,0,0.0,0,0
dermlip_ft__seed0,D5,10622.0,19,0.679217390322446,0.7310577791743588,0.2496251843774817,0.6481249945828956,0.7468242738200249,0,0.0,0,0
dermlip_ft__seed0,D6,11957.5,18,0.7952856330676135,0.8027046935958347,0.14121760595028454,0.7978590393503622,0.8211411666747565,0,0.0,0,0
dermlip_ft__seed0,D7,13841.0,18,0.7296321993980226,0.756482400297646,0.1584381889820986,0.6837352646273573,0.8331388879533757,0,0.0,0,0
dermlip_ft__seed0,D8,15506.0,19,0.6758946758762432,0.8186723152551857,0.2975289386743014,0.6724162488918729,0.7163154880193501,0,0.0,0,0
dermlip_ft__seed0,D9,19152.0,18,0.7490523443524558,0.8143470438840286,0.2770333042255557,0.7134957600320111,0.8107468788636744,0,0.0,0,0
dermlip_ft__seed0,D10,31415.0,19,0.7025088530060752,0.7538919233735775,0.2002676120760346,0.6084189152866939,0.8809574118241749,0,0.0,0,0
dermlip_ft__seed0#c827,D1,4317.5,14,0.619999398212996,0.7003971585171251,0.13278507498364112,0.8719450740776231,0.5238386070962556,2,0.14285714285714285,0,2
dermlip_ft__seed0#c827,D2,5916.0,13,0.7066293572239066,0.7606252640473172,0.24695771810140565,0.8105629798213078,0.638883932562141,0,0.0,0,0
dermlip_ft__seed0#c827,D3,6914.0,13,0.7376065502368644,0.7955491931285789,0.26020762871903536,0.798171555847376,0.6922102356137778,0,0.0,0,0
dermlip_ft__seed0#c827,D4,7402.0,14,0.6096725662081617,0.6449708898243706,0.24904763652527973,0.6815266315184328,0.5762125798613734,0,0.0,0,0
