model,split,cohort,comparable,n_images,n_subjects,source_file,all_n,all_mean_dice,all_median_dice,all_iqr_dice,all_mean_recall,all_mean_precision,all_zero_dice_n,all_zero_dice_rate,all_empty_pred_n,all_wrong_place_n,D1_D4_n,D1_D4_mean_dice,D1_D4_median_dice,D1_D4_iqr_dice,D1_D4_mean_recall,D1_D4_mean_precision,D1_D4_zero_dice_n,D1_D4_zero_dice_rate,D1_D4_empty_pred_n,D1_D4_wrong_place_n,D1_n,D1_mean_dice,D1_median_dice,D1_iqr_dice,D1_mean_recall,D1_mean_precision,D1_zero_dice_n,D1_zero_dice_rate,D1_empty_pred_n,D1_wrong_place_n,D5_D10_n,D5_D10_mean_dice,D5_D10_median_dice,D5_D10_iqr_dice,D5_D10_mean_recall,D5_D10_mean_precision,D5_D10_zero_dice_n,D5_D10_zero_dice_rate,D5_D10_empty_pred_n,D5_D10_wrong_place_n,mean_dice_ci_lo,mean_dice_ci_hi,zero_dice_rate_ci_lo,zero_dice_rate_ci_hi,median_dice__Light,mean_recall__Light,miss_rate__Light,median_dice__Intermediate,mean_recall__Intermediate,miss_rate__Intermediate,median_dice__Tan,mean_recall__Tan,miss_rate__Tan,median_dice__Brown,mean_recall__Brown,miss_rate__Brown,median_dice__Dark,mean_recall__Dark,miss_rate__Dark,fairness_gap_median_dice,fairness_best_group,fairness_worst_group,fairness_miss_rate_gap,kruskal_H,kruskal_p,kruskal_significant,recall_gap_all,recall_gap_small,gap_shrinks_with_size
distill_p2_bpkd_b5_to_b0,test,REFERENCE,True,185,28,/scratch/tbommawa/bruise_work/outputs/per_image_distill_p2_bpkd_b5_to_b0.csv,185,0.7651317867324433,0.8091268100043879,0.16823786499709703,0.7335006798712881,0.8520878668858805,1,0.005405405405405406,1,0,74,0.7484508717742688,0.7983702043770504,0.1682277841204446,0.7283664637537812,0.8245727764375627,1,0.013513513513513514,1,0,19,0.7197036991813173,0.7716496744871637,0.14615518370998104,0.7329027039480264,0.7607898557805723,0,0.0,0,0,111,0.7762523967045598,0.8304865190540744,0.16862446782185536,0.7369234906162927,0.8704312605180924,0,0.0,0,0,0.7325605456901981,0.7967787297086067,0.0,0.018292682926829267,0.7998052817329926,0.7127827196941766,0.0,0.8349734225839878,0.7977527798039015,0.0,0.7555745926719077,0.6556968113184949,0.0,0.8172867343104097,0.7315154745956147,0.034482758620689655,0.8089683381305863,0.7387967607390991,0.0,0.07939882991208003,Intermediate (III-IV),Tan (IV),0.034482758620689655,7.679258285700598,0.10405964356227564,False,0.14205596848540658,0.17293677927014772,False
medsam_ft__seed0,test,REFERENCE,True,185,28,/scratch/tbommawa/BRUISE_UNIFIED/STAGE_N4_RESULTS/tables/test_per_image__medsam_ft__seed0.csv,185,0.7527925163847199,0.80620884289746,0.22536163429609546,0.6820878231751937,0.8887763402346522,1,0.005405405405405406,0,1,74,0.7794738451730205,0.843891145183715,0.15302781548296607,0.7426324289587654,0.8446161306292193,0,0.0,0,0,19,0.7931014455800045,0.84996191926885,0.1549590849964111,0.8122222955353087,0.8129576298455558,0,0.0,0,0,111,0.7350049638591862,0.7824564553779852,0.24583763397344793,0.6417247526528126,0.9182164799716076,1,0.009009009009009009,0,1,0.7087251280073533,0.7921551074628923,0.0,0.018292682926829267,0.7792448173741362,0.699913846653897,0.0,0.8295739152046797,0.7341036354112737,0.0,0.7926775218436908,0.5737140141837611,0.041666666666666664,0.8547072599531615,0.7500721034589033,0.0,0.7647563241389167,0.6449534869374909,0.0,0.08995093581424485,Brown (V),Dark (VI),0.041666666666666664,9.592747802500753,0.04787597966807297,True,0.17635808927514218,0.13489771734319433,True
lraspp_mobilenetv3,test,REFERENCE,True,185,28,/scratch/tbommawa/BRUISE_UNIFIED/_work/outputs/per_image_lraspp_mobilenetv3.csv,185,0.7458129798501084,0.7901680590948679,0.18525736356650102,0.7646069249438142,0.7726811095538157,1,0.005405405405405406,0,1,74,0.7134469972102924,0.7801240556357086,0.22429865933606286,0.7581469776612831,0.7218836462355388,1,0.013513513513513514,0,1,19,0.7420618251601269,0.7854710556186152,0.11124005331871056,0.8628098249637428,0.6595348703632475,1,0.05263157894736842,0,1,111,0.7673903016099859,0.8199291049810497,0.16190208818823648,0.7689135564655014,0.8065460850993335,0,0.0,0,0,0.7105148333207797,0.7777359343796398,0.0,0.018404907975460124,0.8031923136525647,0.745731967127644,0.02564102564102564,0.8235622811887982,0.8127433151449457,0.0,0.742020237240995,0.7557712576677559,0.0,0.790713476783692,0.785143663014206,0.0,0.7806694333475546,0.7377602183578441,0.0,0.08154204394780318,Intermediate (III-IV),Tan (IV),0.02564102564102564,3.709990279600447,0.446674561866769,False,0.07498309678710158,0.10151441075093837,False
distill_p3_adaptive_hard,test,REFERENCE,True,185,28,/scratch/tbommawa/bruise_work/outputs/per_image_distill_p3_adaptive_hard.csv,185,0.7414452622931029,0.8023223148234854,0.17915425215797354,0.7057627033409413,0.8249190649438776,1,0.005405405405405406,0,1,74,0.7246013220477759,0.7999509182707907,0.1713605014309315,0.7263112676441044,0.7599436551938561,1,0.013513513513513514,0,1,19,0.6632514358312748,0.7887998085437358,0.24709183669891654,0.7075868879363053,0.6821149300078583,1,0.05263157894736842,0,1,111,0.7526745557899879,0.8023223148234854,0.1877798802913333,0.692063660472166,0.8682360047772248,0,0.0,0,0,0.7063059425107698,0.7776047785421155,0.0,0.018404907975460124,0.8374921036007581,0.6954345543477144,0.02564102564102564,0.8286058461125106,0.7671359677193613,0.0,0.7395738575670157,0.680952893257043,0.0,0.8245942571785269,0.7489977481561031,0.0,0.7378869778869779,0.6587123925542095,0.0,0.09960512571378022,Light (II-III),Dark (VI),0.02564102564102564,8.08735330527918,0.08843023508772649,False,0.10842357516515178,0.17677490178783606,False
lraspp_mobilenetv3_b2kd,test,REFERENCE,True,185,28,/scratch/tbommawa/bruise_work/outputs/per_image_lraspp_mobilenetv3_b2kd.csv,185,0.7213002189935579,0.7774036286877418,0.18312483513198963,0.7040281858335901,0.8300848649365226,1,0.005405405405405406,1,0,74,0.6632686260767461,0.7315620888033431,0.29031135299494826,0.6703561394678257,0.7942228805403219,1,0.013513513513513514,1,0,19,0.7143166354846379,0.7477854330708661,0.15453343569236433,0.8442117525178299,0.7040464330236188,0,0.0,0,0,111,0.7599879476047657,0.8066051624300716,0.17352930574860748,0.7264762167440999,0.8539928545339895,0,0.0,0,0,0.6725096699736589,0.769159765506931,0.0,0.017543859649122806,0.7969272052826814,0.7001423484243882,0.02564102564102564,0.8091881081315676,0.7836311130269744,0.0,0.777312704852955,0.6885476587657298,0.0,0.7880003488270689,0.679643326763726,0.0,0.7491560633601662,0.6713978219838623,0.0,0.06003204477140145,Intermediate (III-IV),Dark (VI),0.02564102564102564,3.902370671863764,0.4193797531237815,False,0.11223329104311208,0.2644322390389793,False
topformer_tiny_b2kd,test,REFERENCE,True,185,28,/scratch/tbommawa/bruise_work/outputs/per_image_topformer_tiny_b2kd.csv,185,0.6971385420382296,0.7455576559546314,0.2166886069433862,0.7024391953446288,0.7525787047299114,1,0.005405405405405406,0,1,74,0.6678715694403642,0.7214105740098649,0.21815767259955499,0.7310258283916253,0.6661600252311137,1,0.013513513513513514,0,1,19,0.617027860724685,0.6773396580689791,0.2837501575977135,0.7686669966113499,0.5441933235064255,1,0.05263157894736842,0,1,111,0.7166498571034733,0.755498244859947,0.19649398967977783,0.6833814399799644,0.8101911577291095,0,0.0,0,0,0.6648018526758896,0.7307515760765295,0.0,0.018404907975460124,0.7791641909288968,0.6894835950969603,0.02564102564102564,0.7524428257043781,0.7050954744485707,0.0,0.6935555849897642,0.6789355222511627,0.0,0.766316486061709,0.7816217506404435,0.0,0.7017238521465274,0.6782959926968803,0.0,0.08560860593913255,Light (II-III),Tan (IV),0.02564102564102564,4.868603404342593,0.3010472390456534,False,0.10332575794356313,0.06615968703222441,True
topformer_tiny#e981,test,REFERENCE,True,185,28,/scratch/tbommawa/bruise_work/outputs/per_image_topformer_tiny.csv,185,0.6918486980898523,0.7418196822776976,0.2188166397603889,0.7063707335389408,0.7421204038097566,1,0.005405405405405406,0,1,74,0.6562890555704873,0.7121152542003796,0.29643684925133185,0.7263820384424049,0.6663500620011489,1,0.013513513513513514,0,1,19,0.5917447343978548,0.701264334019406,0.2904226626239892,0.7395054033478082,0.5445753807825182,1,0.05263157894736842,0,1,111,0.7155551264360956,0.7559334041799504,0.17999469222409759,0.6930298636032979,0.792633965015495,0,0.0,0,0,0.6590057242292254,0.7245808934497371,0.0,0.018404907975460124,0.7663071391884951,0.6923871752953956,0.02564102564102564,0.7716926911982303,0.7278823529217492,0.0,0.7189519774625776,0.7110291380890992,0.0,0.7354329690228287,0.7865618051236862,0.0,0.6919399744348527,0.6571084508078519,0.0,0.07975271676337758,Intermediate (III-IV),Dark (VI),0.02564102564102564,5.071429420235745,0.2800466030704312,False,0.12945335431583438,0.03026933580986768,True
topformer_tiny_distilled,test,REFERENCE,True,185,28,/scratch/tbommawa/bruise_work/outputs/per_image_topformer_tiny_distilled.csv,185,0.686246957254311,0.7502742621678752,0.2577432104934747,0.6632216174876714,0.780017114457151,1,0.005405405405405406,0,1,74,0.6745601185290832,0.7432917811380724,0.2650999450597291,0.7102802187722165,0.6903841731166529,1,0.013513513513513514,0,1,19,0.6331853405339981,0.6719223771983021,0.27990509340129777,0.7324603959036994,0.5976599225713014,1,0.05263157894736842,0,1,111,0.6940381830711295,0.7596439169139466,0.234036352446771,0.6318492166313078,0.8397724086841497,0,0.0,0,0,0.6445989465654703,0.7265217464887338,0.0,0.018404907975460124,0.78779808739862,0.660152979138284,0.02564102564102564,0.7710375645025844,0.6890149919531078,0.0,0.7473308397252438,0.6693176079516254,0.0,0.7757268329341036,0.7656125306406976,0.0,0.6913510312331025,0.5909286795488868,0.0,0.09644705616551752,Light (II-III),Dark (VI),0.02564102564102564,8.06381154895655,0.08926846575404244,False,0.17468385109181073,0.05073964947084786,True
topformer_tiny_rgkd,test,REFERENCE,True,185,28,/scratch/tbommawa/bruise_work/outputs/per_image_topformer_tiny_rgkd.csv,185,0.679817816137044,0.7456680287591165,0.2322542118632509,0.6565352384933665,0.7739224858504611,1,0.005405405405405406,0,1,74,0.6729534904596346,0.7404908832789381,0.2176381340465663,0.7119131220536091,0.6801644174927677,1,0.013513513513513514,0,1,19,0.6348651591312573,0.7549476135040745,0.3584790632526056,0.7188483291138402,0.5964559485692744,1,0.05263157894736842,0,1,111,0.6843940332553167,0.7464285714285714,0.25282487252529784,0.6196166494532047,0.8364278647555903,0,0.0,0,0,0.6340011855171996,0.7236428253085696,0.0,0.018404907975460124,0.7476016795905231,0.6507240913893667,0.02564102564102564,0.7808366133985711,0.6788559606395779,0.0,0.7462230863580506,0.6725566501167473,0.0,0.7749308563377342,0.7654200519856802,0.0,0.6655699177438308,0.5808311262253982,0.0,0.11526669565474035,Intermediate (III-IV),Dark (VI),0.02564102564102564,7.882689601005836,0.09597118589181916,False,0.18458892576028196,0.09132169263768608,True
distill_p3_adaptive,test,REFERENCE,True,185,28,/scratch/tbommawa/bruise_work/outputs/per_image_distill_p3_adaptive.csv,185,0.7748439694052848,0.8171701112877583,0.1559525787488859,0.7423310201103652,0.8478776260484698,2,0.010810810810810811,0,2,74,0.7807856549402902,0.8241254107998455,0.11106778223126856,0.7966983691319737,0.7869349335662987,1,0.013513513513513514,0,1,19,0.7330658895402026,0.803982683982684,0.14329799087412654,0.7974957797578516,0.7010519762970155,1,0.05263157894736842,0,1,111,0.7708828457152811,0.8093916755602988,0.16710474508095574,0.7060861207626261,0.8885060877032503,1,0.009009009009009009,0,1,0.7424199394248068,0.8042414738323946,0.0,0.029415386844392877,0.8022157054415119,0.7353142420947828,0.02564102564102564,0.8447595968496998,0.7968266919744869,0.0,0.7827637558532105,0.7269606994893018,0.0,0.830723729993041,0.7776928584083354,0.0,0.7730100905896387,0.6977167145837375,0.01818181818181818,0.07174950626006116,Intermediate (III-IV),Dark (VI),0.02564102564102564,9.49550197583966,0.049839753907852696,True,0.09910997739074934,0.15115830867287972,False
