group,teacher,mean_val_dice,weight,n_images,n_subjects
Light,segformer_b5_teacher,0.7364828336477539,0.26753746900920794,31,7
Light,deeplabv3plus_r50,0.7678642230755439,0.3438861842922768,31,7
Light,medsam_ft,0.7831365885864857,0.3885763466985154,31,7
Other,segformer_b5_teacher,0.8036834403557362,0.3504845227511216,103,19
Other,deeplabv3plus_r50,0.7885558324809985,0.31053471071659444,103,19
Other,medsam_ft,0.7995117931066147,0.338980766532284,103,19
