group,n_images,n_subjects,best_teacher,best_dice,runner_up,runner_up_dice,margin,spread,p_argmax_stable,identifiable
Light (II-III),31,7,medsam_ft,0.7831365885864857,deeplabv3plus_r50,0.7678642230755439,0.015272365510941799,0.046653754938731806,0.68725,False
Intermediate (III-IV),47,12,deeplabv3plus_r50,0.8131428945112621,medsam_ft,0.8093229141868448,0.003819980324417327,0.00743153630703941,0.401,False
Tan (IV),21,11,segformer_b5_teacher,0.8131650269182297,medsam_ft,0.7997685768222583,0.013396450095971346,0.032905470040415996,0.837,True
Brown (V),7,4,segformer_b5_teacher,0.805046583440013,medsam_ft,0.7922310342158536,0.012815549224159395,0.0782733222590728,0.6275,False
Dark (VI),28,8,segformer_b5_teacher,0.7928274597028382,medsam_ft,0.784670727515044,0.008156732187794224,0.023874917530949946,0.72175,False
