model,stratum,n_subjects,n,zero_dice_n,empty_pred_n,wrong_place_n,zero_dice_rate,empty_pred_rate,wrong_place_rate
ppmobileseg_tiny,Dark (VI),15,55,1,1,0,0.01818181818181818,0.01818181818181818,0.0
ppmobileseg_tiny,Light (II-III),9,39,3,3,0,0.07692307692307693,0.07692307692307693,0.0
ppmobileseg_tiny,Tan (IV),15,24,1,1,0,0.041666666666666664,0.041666666666666664,0.0
ppmobileseg_tiny,Brown (V),12,29,2,1,1,0.06896551724137931,0.034482758620689655,0.034482758620689655
ppmobileseg_tiny_b2kd,Intermediate (III-IV),17,38,0,0,0,0.0,0.0,0.0
ppmobileseg_tiny_b2kd,Dark (VI),15,55,0,0,0,0.0,0.0,0.0
ppmobileseg_tiny_b2kd,Light (II-III),9,39,1,1,0,0.02564102564102564,0.02564102564102564,0.0
ppmobileseg_tiny_b2kd,Tan (IV),15,24,1,1,0,0.041666666666666664,0.041666666666666664,0.0
ppmobileseg_tiny_b2kd,Brown (V),12,29,2,1,1,0.06896551724137931,0.034482758620689655,0.034482758620689655
fastscnn,Intermediate (III-IV),17,38,0,0,0,0.0,0.0,0.0
fastscnn,Dark (VI),15,55,1,0,1,0.01818181818181818,0.0,0.01818181818181818
fastscnn,Light (II-III),9,39,4,3,1,0.10256410256410256,0.07692307692307693,0.02564102564102564
fastscnn,Tan (IV),15,24,1,0,1,0.041666666666666664,0.0,0.041666666666666664
fastscnn,Brown (V),12,29,1,1,0,0.034482758620689655,0.034482758620689655,0.0
fastscnn_b2kd,Intermediate (III-IV),17,38,1,1,0,0.02631578947368421,0.02631578947368421,0.0
fastscnn_b2kd,Dark (VI),15,55,1,0,1,0.01818181818181818,0.0,0.01818181818181818
fastscnn_b2kd,Light (II-III),9,39,3,1,2,0.07692307692307693,0.02564102564102564,0.05128205128205128
fastscnn_b2kd,Tan (IV),15,24,0,0,0,0.0,0.0,0.0
fastscnn_b2kd,Brown (V),12,29,1,0,1,0.034482758620689655,0.0,0.034482758620689655
p3_adaptive,Intermediate (III-IV),17,38,0,0,0,0.0,0.0,0.0
p3_adaptive,Dark (VI),15,55,1,0,1,0.01818181818181818,0.0,0.01818181818181818
p3_adaptive,Light (II-III),9,39,1,0,1,0.02564102564102564,0.0,0.02564102564102564
p3_adaptive,Tan (IV),15,24,0,0,0,0.0,0.0,0.0
p3_adaptive,Brown (V),12,29,0,0,0,0.0,0.0,0.0
p3_adaptive_boundary,Intermediate (III-IV),17,38,0,0,0,0.0,0.0,0.0
p3_adaptive_boundary,Dark (VI),15,55,0,0,0,0.0,0.0,0.0
p3_adaptive_boundary,Light (II-III),9,39,1,0,1,0.02564102564102564,0.0,0.02564102564102564
p3_adaptive_boundary,Tan (IV),15,24,0,0,0,0.0,0.0,0.0
p3_adaptive_boundary,Brown (V),12,29,0,0,0,0.0,0.0,0.0
p3_adaptive_group,Intermediate (III-IV),17,38,0,0,0,0.0,0.0,0.0
p3_adaptive_group,Dark (VI),15,55,0,0,0,0.0,0.0,0.0
p3_adaptive_group,Light (II-III),9,39,2,1,1,0.05128205128205128,0.02564102564102564,0.02564102564102564
p3_adaptive_group,Tan (IV),15,24,0,0,0,0.0,0.0,0.0
p3_adaptive_group,Brown (V),12,29,0,0,0,0.0,0.0,0.0
