model,stratum,skin_tone_category,endpoint,n_images,n_subjects,point,median_gt_px,lo,hi
segformer_b0_direct,D1_D4,Light (II-III),mean_recall,23,7,0.7275401444875417,5185.0,0.5171796038780098,0.8491023589674691
segformer_b0_direct,D1_D4,Intermediate (III-IV),mean_recall,13,10,0.8422287635971972,6059.0,0.7236874742542415,0.92179711525904
segformer_b0_direct,D1_D4,Tan (IV),mean_recall,8,4,0.717446624845565,5837.5,,
segformer_b0_direct,D1_D4,Brown (V),mean_recall,12,3,0.6997536241869508,5963.0,,
segformer_b0_direct,D1_D4,Dark (VI),mean_recall,18,8,0.7611811791060893,7516.5,0.7088956119513462,0.8280654294381988
segformer_b0_direct,D5_D10,Light (II-III),mean_recall,16,6,0.7593064684603252,11510.5,0.7191572253226602,0.8208462157344418
segformer_b0_direct,D5_D10,Intermediate (III-IV),mean_recall,25,11,0.7206792584889531,14122.0,0.622111600763996,0.8115226994906571
segformer_b0_direct,D5_D10,Tan (IV),mean_recall,16,13,0.6672870841051521,16700.0,0.5473767206778037,0.7945579408527319
segformer_b0_direct,D5_D10,Brown (V),mean_recall,17,10,0.7716860942479767,14259.0,0.6805016115525153,0.8217909843724968
segformer_b0_direct,D5_D10,Dark (VI),mean_recall,37,12,0.6760223083416178,16533.0,0.5560337577656487,0.7857512997327732
segformer_b0_rgkd,all,Light (II-III),mean_recall,39,9,0.660711598841092,8085.0,0.4837866117028996,0.7624035857903192
segformer_b0_rgkd,all,Intermediate (III-IV),mean_recall,38,17,0.7825891058953109,12117.5,0.7191236101212981,0.8419448498408086
segformer_b0_rgkd,all,Tan (IV),mean_recall,24,15,0.7149741367091481,13550.0,0.6269550438736703,0.7957144985293428
segformer_b0_rgkd,all,Brown (V),mean_recall,29,12,0.7589055135626469,10961.0,0.71359626469929,0.7977165189755321
segformer_b0_rgkd,all,Dark (VI),mean_recall,55,15,0.717373892521591,13751.0,0.6436338908193469,0.7988004416013296
segformer_b0_rgkd,D1_D4,Light (II-III),mean_recall,23,7,0.621077039018048,5185.0,0.3547308322121922,0.7678681501866071
segformer_b0_rgkd,D1_D4,Intermediate (III-IV),mean_recall,13,10,0.8329524244116991,6059.0,0.7609434825374786,0.8857235837636256
segformer_b0_rgkd,D1_D4,Tan (IV),mean_recall,8,4,0.7619083446122085,5837.5,,
segformer_b0_rgkd,D1_D4,Brown (V),mean_recall,12,3,0.7420412102627524,5963.0,,
segformer_b0_rgkd,D1_D4,Dark (VI),mean_recall,18,8,0.7269525199358626,7516.5,0.6786402332191883,0.8168074599746157
segformer_b0_rgkd,D5_D10,Light (II-III),mean_recall,16,6,0.7176862785867177,11510.5,0.6693278815426831,0.7883639358049221
segformer_b0_rgkd,D5_D10,Intermediate (III-IV),mean_recall,25,11,0.756400180266789,14122.0,0.6706152977355225,0.8260845974789418
segformer_b0_rgkd,D5_D10,Tan (IV),mean_recall,16,13,0.6915070327576177,16700.0,0.5624048321299244,0.8155377759109467
segformer_b0_rgkd,D5_D10,Brown (V),mean_recall,17,10,0.7708097276566901,14259.0,0.7035922792892075,0.8301164131626422
segformer_b0_rgkd,D5_D10,Dark (VI),mean_recall,37,12,0.712714019725459,16533.0,0.6053166369247004,0.8155793608145202
unet_r50,all,Light (II-III),mean_recall,39,9,0.5857092035091394,8085.0,0.3547820935113132,0.780944796685833
unet_r50,all,Intermediate (III-IV),mean_recall,38,17,0.8017199748044647,12117.5,0.7175972199889419,0.8742961441082261
unet_r50,all,Tan (IV),mean_recall,24,15,0.7513505116155885,13550.0,0.6883369761156691,0.8224002780253673
unet_r50,all,Brown (V),mean_recall,29,12,0.7866064793552169,10961.0,0.6668185641515413,0.8501845487022459
unet_r50,all,Dark (VI),mean_recall,55,15,0.7763104887036987,13751.0,0.6963048705583739,0.8479745387873977
