model,stratum,skin_tone_category,endpoint,n_images,n_subjects,point,median_gt_px,lo,hi
segformer_b0_rgkd,all,Light (II-III),zero_dice_rate,39,9,0.05128205128205128,8085.0,0.0,0.18518518518518517
segformer_b0_rgkd,all,Intermediate (III-IV),zero_dice_rate,38,17,0.0,12117.5,0.0,0.0
segformer_b0_rgkd,all,Tan (IV),zero_dice_rate,24,15,0.0,13550.0,0.0,0.0
segformer_b0_rgkd,all,Brown (V),zero_dice_rate,29,12,0.0,10961.0,0.0,0.0
segformer_b0_rgkd,all,Dark (VI),zero_dice_rate,55,15,0.0,13751.0,0.0,0.0
segformer_b0_rgkd,D1_D4,Light (II-III),zero_dice_rate,23,7,0.08695652173913043,5185.0,0.0,0.3076923076923077
segformer_b0_rgkd,D1_D4,Intermediate (III-IV),zero_dice_rate,13,10,0.0,6059.0,0.0,0.0
segformer_b0_rgkd,D1_D4,Tan (IV),zero_dice_rate,8,4,0.0,5837.5,,
segformer_b0_rgkd,D1_D4,Brown (V),zero_dice_rate,12,3,0.0,5963.0,,
segformer_b0_rgkd,D1_D4,Dark (VI),zero_dice_rate,18,8,0.0,7516.5,0.0,0.0
segformer_b0_rgkd,D5_D10,Light (II-III),zero_dice_rate,16,6,0.0,11510.5,0.0,0.0
segformer_b0_rgkd,D5_D10,Intermediate (III-IV),zero_dice_rate,25,11,0.0,14122.0,0.0,0.0
segformer_b0_rgkd,D5_D10,Tan (IV),zero_dice_rate,16,13,0.0,16700.0,0.0,0.0
segformer_b0_rgkd,D5_D10,Brown (V),zero_dice_rate,17,10,0.0,14259.0,0.0,0.0
segformer_b0_rgkd,D5_D10,Dark (VI),zero_dice_rate,37,12,0.0,16533.0,0.0,0.0
unet_r50,all,Light (II-III),zero_dice_rate,39,9,0.15384615384615385,8085.0,0.044444444444444446,0.38095238095238093
unet_r50,all,Intermediate (III-IV),zero_dice_rate,38,17,0.0,12117.5,0.0,0.0
unet_r50,all,Tan (IV),zero_dice_rate,24,15,0.0,13550.0,0.0,0.0
unet_r50,all,Brown (V),zero_dice_rate,29,12,0.034482758620689655,10961.0,0.0,0.13043478260869565
unet_r50,all,Dark (VI),zero_dice_rate,55,15,0.0,13751.0,0.0,0.0
unet_r50,D1_D4,Light (II-III),zero_dice_rate,23,7,0.21739130434782608,5185.0,0.041666666666666664,0.5714285714285714
unet_r50,D1_D4,Intermediate (III-IV),zero_dice_rate,13,10,0.0,6059.0,0.0,0.0
unet_r50,D1_D4,Tan (IV),zero_dice_rate,8,4,0.0,5837.5,,
unet_r50,D1_D4,Brown (V),zero_dice_rate,12,3,0.08333333333333333,5963.0,,
unet_r50,D1_D4,Dark (VI),zero_dice_rate,18,8,0.0,7516.5,0.0,0.0
unet_r50,D5_D10,Light (II-III),zero_dice_rate,16,6,0.0625,11510.5,0.0,0.11538461538461539
unet_r50,D5_D10,Intermediate (III-IV),zero_dice_rate,25,11,0.0,14122.0,0.0,0.0
unet_r50,D5_D10,Tan (IV),zero_dice_rate,16,13,0.0,16700.0,0.0,0.0
unet_r50,D5_D10,Brown (V),zero_dice_rate,17,10,0.0,14259.0,0.0,0.0
unet_r50,D5_D10,Dark (VI),zero_dice_rate,37,12,0.0,16533.0,0.0,0.0
deeplabv3plus_r50,all,Light (II-III),zero_dice_rate,39,9,0.1282051282051282,8085.0,0.0,0.375
deeplabv3plus_r50,all,Intermediate (III-IV),zero_dice_rate,38,17,0.0,12117.5,0.0,0.0
deeplabv3plus_r50,all,Tan (IV),zero_dice_rate,24,15,0.0,13550.0,0.0,0.0
deeplabv3plus_r50,all,Brown (V),zero_dice_rate,29,12,0.0,10961.0,0.0,0.0
deeplabv3plus_r50,all,Dark (VI),zero_dice_rate,55,15,0.0,13751.0,0.0,0.0
deeplabv3plus_r50,D1_D4,Light (II-III),zero_dice_rate,23,7,0.21739130434782608,5185.0,0.041666666666666664,0.5714285714285714
deeplabv3plus_r50,D1_D4,Intermediate (III-IV),zero_dice_rate,13,10,0.0,6059.0,0.0,0.0
deeplabv3plus_r50,D1_D4,Tan (IV),zero_dice_rate,8,4,0.0,5837.5,,
deeplabv3plus_r50,D1_D4,Brown (V),zero_dice_rate,12,3,0.0,5963.0,,
deeplabv3plus_r50,D1_D4,Dark (VI),zero_dice_rate,18,8,0.0,7516.5,0.0,0.0
deeplabv3plus_r50,D5_D10,Light (II-III),zero_dice_rate,16,6,0.0,11510.5,0.0,0.0
deeplabv3plus_r50,D5_D10,Intermediate (III-IV),zero_dice_rate,25,11,0.0,14122.0,0.0,0.0
deeplabv3plus_r50,D5_D10,Tan (IV),zero_dice_rate,16,13,0.0,16700.0,0.0,0.0
deeplabv3plus_r50,D5_D10,Brown (V),zero_dice_rate,17,10,0.0,14259.0,0.0,0.0
deeplabv3plus_r50,D5_D10,Dark (VI),zero_dice_rate,37,12,0.0,16533.0,0.0,0.0
yolo_sem_direct,all,Light (II-III),zero_dice_rate,39,9,0.15384615384615385,8085.0,0.014772727272727618,0.4
yolo_sem_direct,all,Intermediate (III-IV),zero_dice_rate,38,17,0.05263157894736842,12117.5,0.0,0.13157894736842105
yolo_sem_direct,all,Tan (IV),zero_dice_rate,24,15,0.0,13550.0,0.0,0.0
yolo_sem_direct,all,Brown (V),zero_dice_rate,29,12,0.06896551724137931,10961.0,0.0,0.18181818181818182
yolo_sem_direct,all,Dark (VI),zero_dice_rate,55,15,0.03636363636363636,13751.0,0.0,0.10256410256410256
