model,all_n,all_median_dice,all_mean_dice,all_mean_recall,all_mean_precision,all_zero_dice_n,all_zero_dice_rate,all_empty_pred_n,D1_D4_n,D1_D4_median_dice,D1_D4_mean_dice,D1_D4_mean_recall,D1_D4_mean_precision,D1_D4_zero_dice_n,D1_D4_zero_dice_rate,D1_D4_empty_pred_n,D1_n,D1_median_dice,D1_mean_dice,D1_mean_recall,D1_mean_precision,D1_zero_dice_n,D1_zero_dice_rate,D1_empty_pred_n,all_wrong_place_n,D1_D4_wrong_place_n
p2_ensemble_uniform,185,0.813945766463752,0.7614730219604802,0.7146452229270024,0.8624721151630926,2,0.010810810810810811,0,74,0.8181315001960494,0.7686366474921047,0.7564677885951254,0.8184901829742386,1,0.013513513513513514,0,19,0.8046429274050757,0.7080304847323445,0.7570972236204045,0.7226187200517417,1,0.05263157894736842,0,2,1
x_angular_b5_to_b0,185,0.8043323922267902,0.7418187732569852,0.6788361745478066,0.8768257833646442,2,0.010810810810810811,1,74,0.8079377651255357,0.7353406303638654,0.6950710845925591,0.8330538861037159,1,0.013513513513513514,1,19,0.8041903776513192,0.7168299035919666,0.7034191216092538,0.7783576429197127,0,0.0,0,1,0
segformer_b0_rgkd,185,0.8157619754715943,0.7655657400501422,0.7250234683343149,0.8513945822399233,2,0.010810810810810811,1,74,0.81716796763155,0.7451626181557971,0.7188927034278839,0.8124728688877781,2,0.02702702702702703,1,19,0.8143867924528302,0.6624999634791596,0.6730771126282079,0.7383962358780707,2,0.10526315789473684,1,1,1
p3_adaptive_group,185,0.8047451669595782,0.7585841363527742,0.7099193854165037,0.8593388452022629,2,0.010810810810810811,1,74,0.8113501739328731,0.757359963365946,0.7430076528666052,0.8128196867092274,2,0.02702702702702703,1,19,0.8139562112164852,0.6996536159940874,0.7387730541687327,0.7391067026961364,2,0.10526315789473684,1,1,1
lraspp_mobilenetv3_rgkd,185,0.7777109882183217,0.7246397383719482,0.6734834851444331,0.8475975839931278,2,0.010810810810810811,1,74,0.7329316671005255,0.6675021885547879,0.6296114020856027,0.8057885888358879,2,0.02702702702702703,1,19,0.7562262753448755,0.6977586595223998,0.6846757945040579,0.7644230467986436,1,0.05263157894736842,0,1,1
lraspp_mobilenetv3_distilled,185,0.7835990888382688,0.7199779803092178,0.6832856722326234,0.8397819265490268,3,0.016216216216216217,2,74,0.7097281648323914,0.6597222051902694,0.6311778082370507,0.8037886270728015,3,0.04054054054054054,2,19,0.8006185367739441,0.6924219392802203,0.6699460149498876,0.7720562882416395,1,0.05263157894736842,0,1,1
p3_adaptive_full,185,0.7984382130723594,0.7515250919573535,0.6995671469605808,0.8659286948959344,3,0.016216216216216217,2,74,0.7868684772260209,0.7319568201973934,0.6884916189836641,0.8377187564831323,3,0.04054054054054054,2,19,0.8261655222262378,0.650993064310986,0.6416777745231217,0.7781161875654493,3,0.15789473684210525,2,1,1
p2_cwd_b5_to_b0,185,0.823045267489712,0.7736213046375027,0.7346197177612811,0.85178712415691,4,0.021621621621621623,1,74,0.8287494528942427,0.7643362168390159,0.7531171686943082,0.8083557349271201,3,0.04054054054054054,1,19,0.8289490568458874,0.6858286479642148,0.7165982540714001,0.721095500092144,3,0.15789473684210525,1,3,2
topformer_tiny,185,0.7406317611423626,0.6801360613802793,0.69224443289836,0.7477946251327025,4,0.021621621621621623,4,74,0.7202933378447105,0.6346258892545393,0.7074416857040793,0.678242692294249,4,0.05405405405405406,4,19,0.6873440285204991,0.5755404632023784,0.7121599252570276,0.6447696642847519,2,0.10526315789473684,2,0,0
ppmobileseg_tiny_b2kd,185,0.7077697090512127,0.6758656100497099,0.631831829925504,0.8172291867691899,4,0.021621621621621623,3,74,0.6841729393886401,0.6286121704358039,0.6090478430905217,0.7805591206941268,4,0.05405405405405406,3,19,0.7075586711368486,0.6827744001225823,0.7214109375304089,0.7719287963274335,0,0.0,0,1,1
