model,stratum,n_subjects,n,zero_dice_n,empty_pred_n,wrong_place_n,zero_dice_rate,empty_pred_rate,wrong_place_rate
yolo_sem_distilled,D10,10,19,0,0,0,0.0,0.0,0.0
yolo_sem_distilled,D5,12,19,0,0,0,0.0,0.0,0.0
yolo_sem_distilled,D3,9,19,0,0,0,0.0,0.0,0.0
yolo_sem_distilled,D2,8,18,0,0,0,0.0,0.0,0.0
yolo_sem_distilled,D8,8,19,1,1,0,0.05263157894736842,0.05263157894736842,0.0
yolo_sem_distilled,D1,7,19,3,2,1,0.15789473684210525,0.10526315789473684,0.05263157894736842
lraspp_mobilenetv3,D7,11,18,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3,D4,13,18,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3,D9,10,18,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3,D6,13,18,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3,D10,10,19,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3,D5,12,19,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3,D3,9,19,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3,D2,8,18,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3,D8,8,19,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3,D1,7,19,1,0,1,0.05263157894736842,0.0,0.05263157894736842
lraspp_mobilenetv3_b2kd,D7,11,18,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_b2kd,D4,13,18,1,1,0,0.05555555555555555,0.05555555555555555,0.0
lraspp_mobilenetv3_b2kd,D9,10,18,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_b2kd,D6,13,18,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_b2kd,D10,10,19,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_b2kd,D5,12,19,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_b2kd,D3,9,19,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_b2kd,D2,8,18,0,0,0,0.0,0.0,0.0
