model,stratum,skin_tone_category,endpoint,n_images,n_subjects,point,median_gt_px,lo,hi
yolo_sem_direct,D1_D4,Light (II-III),mean_recall,23,7,0.46222914040500873,5185.0,0.15966405779333656,0.6558393972817735
yolo_sem_direct,D1_D4,Intermediate (III-IV),mean_recall,13,10,0.593183139436229,6059.0,0.36285121682534166,0.7986409693950821
yolo_sem_direct,D1_D4,Tan (IV),mean_recall,8,4,0.6678933256521832,5837.5,,
yolo_sem_direct,D1_D4,Brown (V),mean_recall,12,3,0.65948609953149,5963.0,,
yolo_sem_direct,D1_D4,Dark (VI),mean_recall,18,8,0.8036699242653353,7516.5,0.7164768986843753,0.8622048230713663
yolo_sem_direct,D5_D10,Light (II-III),mean_recall,16,6,0.5925100664106993,11510.5,0.40507087134424274,0.8777191148056263
yolo_sem_direct,D5_D10,Intermediate (III-IV),mean_recall,25,11,0.7518700873504116,14122.0,0.6466545996656958,0.8630615296133803
yolo_sem_direct,D5_D10,Tan (IV),mean_recall,16,13,0.6661903562533144,16700.0,0.4763075281827819,0.8447009798292594
yolo_sem_direct,D5_D10,Brown (V),mean_recall,17,10,0.788974004143289,14259.0,0.6888136380337259,0.8539252734076457
yolo_sem_direct,D5_D10,Dark (VI),mean_recall,37,12,0.6888525193305399,16533.0,0.5283978539126128,0.8190718909479922
unet_r50,all,Light (II-III),mean_recall,39,9,0.5857092035091394,8085.0,0.3547820935113132,0.780944796685833
unet_r50,all,Intermediate (III-IV),mean_recall,38,17,0.8017199748044647,12117.5,0.7175972199889419,0.8742961441082261
unet_r50,all,Tan (IV),mean_recall,24,15,0.7513505116155885,13550.0,0.6883369761156691,0.8224002780253673
unet_r50,all,Brown (V),mean_recall,29,12,0.7866064793552169,10961.0,0.6668185641515413,0.8501845487022459
unet_r50,all,Dark (VI),mean_recall,55,15,0.7763104887036987,13751.0,0.6963048705583739,0.8479745387873977
unet_r50,D1_D4,Light (II-III),mean_recall,23,7,0.5364755262849895,5185.0,0.19692429416040919,0.7401803793202073
unet_r50,D1_D4,Intermediate (III-IV),mean_recall,13,10,0.8071805931936249,6059.0,0.612646390185957,0.9316297057317156
unet_r50,D1_D4,Tan (IV),mean_recall,8,4,0.7242873959554355,5837.5,,
unet_r50,D1_D4,Brown (V),mean_recall,12,3,0.7737259564962908,5963.0,,
unet_r50,D1_D4,Dark (VI),mean_recall,18,8,0.8486497511896683,7516.5,0.7694092744135215,0.9062352676896135
unet_r50,D5_D10,Light (II-III),mean_recall,16,6,0.6564826145188547,11510.5,0.5033569501251457,0.8913418983478434
unet_r50,D5_D10,Intermediate (III-IV),mean_recall,25,11,0.7988804532421016,14122.0,0.7277263844030896,0.8622861774957116
unet_r50,D5_D10,Tan (IV),mean_recall,16,13,0.7648820694456651,16700.0,0.6504552016184764,0.8639336234008494
unet_r50,D5_D10,Brown (V),mean_recall,17,10,0.7956986131379882,14259.0,0.7107298481961504,0.8467825083209289
unet_r50,D5_D10,Dark (VI),mean_recall,37,12,0.7411184150618758,16533.0,0.6344595197627741,0.8281747291542577
