model,bin,median_gt_px,n,median_dice,mean_dice,mean_recall,mean_precision,zero_dice_n,zero_dice_rate,empty_pred_n
segformer_b2_teacher,D5,10622.0,19,0.8075670114876836,0.7882130764357193,0.7415154828307727,0.8709874475349467,0,0.0,0
segformer_b2_teacher,D6,11957.5,18,0.8573124466977806,0.8206617283419191,0.7486791545738151,0.9248304591115528,0,0.0,0
segformer_b2_teacher,D7,13841.0,18,0.8137433751806985,0.7533464682199721,0.719185765520438,0.8415170400709813,0,0.0,0
segformer_b2_teacher,D8,15506.0,19,0.8718383600029497,0.8364035646814225,0.7970305711162093,0.9027384218110466,0,0.0,0
segformer_b2_teacher,D9,19152.0,18,0.8424518231057578,0.8113138231132603,0.7483504175478113,0.905435096556815,0,0.0,0
segformer_b2_teacher,D10,31415.0,19,0.7239557763682423,0.683395065385027,0.5907214446132286,0.9045411101312979,0,0.0,0
segformer_b0_distilled,D1,4071.0,19,0.829388329036794,0.7186475420244666,0.7831719675795877,0.7135380038739069,0,0.0,0
segformer_b0_distilled,D2,5445.5,18,0.8519656303883777,0.7963464850168828,0.7840925286189031,0.8370267465210046,0,0.0,0
segformer_b0_distilled,D3,6686.0,19,0.8049217350673623,0.7297338231598209,0.6715889878385878,0.8249074804711568,0,0.0,0
segformer_b0_distilled,D4,8665.5,18,0.814582093815891,0.8071754711408504,0.7351871533097357,0.9081354245016158,0,0.0,0
segformer_b0_distilled,D5,10622.0,19,0.8221387427998998,0.7721270495413615,0.7198788532673704,0.8793645914226166,0,0.0,0
segformer_b0_distilled,D6,11957.5,18,0.8414094639653865,0.805338934197412,0.7436596870211993,0.9222426108539583,0,0.0,0
segformer_b0_distilled,D7,13841.0,18,0.8027068770513945,0.7690950270510383,0.7096957476922365,0.8786750893831349,0,0.0,0
segformer_b0_distilled,D8,15506.0,19,0.8434190393327533,0.7725560948706374,0.7059638209796156,0.8880795702615759,0,0.0,0
segformer_b0_distilled,D9,19152.0,18,0.8169154131848416,0.8035316110794899,0.7769780149489723,0.8615530534387406,0,0.0,0
segformer_b0_distilled,D10,31415.0,19,0.7627411299456007,0.7130013503203343,0.6080409266643985,0.9160948825771996,0,0.0,0
